ENSG00000076344|ENST00000168869
ENSG00000006071|ENST00000684593
ENSG00000159063|ENST00000679874
ENSG00000135297|ENST00000681094
ENSG00000135541|ENST00000680656
ENSG00000077232|ENST00000679491
ENSG00000123607|ENST00000680327
ENSG00000171960|ENST00000678076
ENSG00000130340|ENST00000681651
ENSG00000111331|ENST00000680293
ENSG00000099246|ENST00000682852
ENSG00000124356|ENST00000684200
ENSG00000135297|ENST00000680131
ENSG00000135317|ENST00000682694
ENSG00000135541|ENST00000681488
ENSG00000168778|ENST00000680500
ENSG00000158290|ENST00000681189
ENSG00000135541|ENST00000680826
ENSG00000168014|ENST00000681291
ENSG00000148672|ENST00000682622
ENSG00000112139|ENST00000681472
ENSG00000023041|ENST00000682731
ENSG00000196305|ENST00000683119
ENSG00000135931|ENST00000683321
ENSG00000135297|ENST00000681294
ENSG00000081248|ENST00000681190
ENSG00000134321|ENST00000679373
ENSG00000144591|ENST00000683131
ENSG00000135317|ENST00000682174
ENSG00000104133|ENST00000682460
ENSG00000168214|ENST00000681025
ENSG00000111335|ENST00000679877
ENSG00000095321|ENST00000680093
ENSG00000135297|ENST00000681705
ENSG00000168003|ENST00000680134
ENSG00000159063|ENST00000680866
ENSG00000135541|ENST00000680119
ENSG00000124356|ENST00000683417
ENSG00000124356|ENST00000682592
ENSG00000100749|ENST00000681363
ENSG00000144591|ENST00000682058
ENSG00000136068|ENST00000684107
ENSG00000135541|ENST00000681828
ENSG00000184014|ENST00000680742
ENSG00000138138|ENST00000681629
ENSG00000100749|ENST00000679533
ENSG00000072110|ENST00000682559
ENSG00000125875|ENST00000681441
ENSG00000169379|ENST00000680414
ENSG00000141556|ENST00000683041
ENSG00000182173|ENST00000679782
ENSG00000134321|ENST00000679863
ENSG00000188906|ENST00000680422
ENSG00000116337|ENST00000681218
ENSG00000118217|ENST00000681001
ENSG00000117054|ENST00000681430
ENSG00000124198|ENST00000680871
ENSG00000111331|ENST00000681764
ENSG00000138821|ENST00000683462
ENSG00000003393|ENST00000680726
ENSG00000073060|ENST00000680926
ENSG00000168014|ENST00000681385
ENSG00000213614|ENST00000684125
ENSG00000120697|ENST00000681208
ENSG00000172269|ENST00000684682
ENSG00000154743|ENST00000680376
ENSG00000131165|ENST00000675161
ENSG00000171503|ENST00000683081
ENSG00000197102|ENST00000681283
ENSG00000138095|ENST00000682607
ENSG00000138821|ENST00000684289
ENSG00000077232|ENST00000681873
ENSG00000135317|ENST00000684581
ENSG00000120697|ENST00000681727
ENSG00000046651|ENST00000683284
ENSG00000131165|ENST00000676118
ENSG00000003393|ENST00000681768
ENSG00000164953|ENST00000682837
ENSG00000135297|ENST00000679418
ENSG00000105835|ENST00000680152
ENSG00000120697|ENST00000681214
ENSG00000116337|ENST00000681246
ENSG00000253710|ENST00000679359
ENSG00000131844|ENST00000683882
ENSG00000147050|ENST00000683425
ENSG00000128487|ENST00000680373
ENSG00000183230|ENST00000683963
ENSG00000079215|ENST00000680048
ENSG00000152592|ENST00000682752
ENSG00000157193|ENST00000653810
ENSG00000105127|ENST00000681812
ENSG00000111331|ENST00000681007
ENSG00000154743|ENST00000680923
ENSG00000135317|ENST00000683878
ENSG00000144591|ENST00000682576
ENSG00000124356|ENST00000684671
ENSG00000213614|ENST00000683003
ENSG00000135297|ENST00000681509
ENSG00000075702|ENST00000680590
ENSG00000081248|ENST00000679417
ENSG00000144426|ENST00000681967
ENSG00000120697|ENST00000681043
ENSG00000078124|ENST00000680842
ENSG00000184908|ENST00000682838
ENSG00000135297|ENST00000679364
ENSG00000136068|ENST00000684506
ENSG00000138095|ENST00000684290
ENSG00000123607|ENST00000681083
ENSG00000000419|ENST00000683048
ENSG00000107201|ENST00000679771
ENSG00000137628|ENST00000679510
ENSG00000168014|ENST00000681924
ENSG00000116337|ENST00000681496
ENSG00000150768|ENST00000679368
ENSG00000204852|ENST00000680203
ENSG00000100749|ENST00000679977
ENSG00000135317|ENST00000683726
ENSG00000124356|ENST00000683016
ENSG00000119392|ENST00000683044
ENSG00000172269|ENST00000684499
ENSG00000182923|ENST00000684588
ENSG00000078124|ENST00000681004
ENSG00000124356|ENST00000683247
ENSG00000135297|ENST00000679411
ENSG00000100749|ENST00000681538
ENSG00000172269|ENST00000682232
ENSG00000165140|ENST00000682520
ENSG00000132424|ENST00000679525
ENSG00000151348|ENST00000684039
ENSG00000100023|ENST00000679692
ENSG00000135297|ENST00000680238
ENSG00000135317|ENST00000683583
ENSG00000117054|ENST00000681548
ENSG00000008311|ENST00000679659
ENSG00000197822|ENST00000681588
ENSG00000104133|ENST00000682495
ENSG00000118473|ENST00000682816
ENSG00000135297|ENST00000681165
ENSG00000075702|ENST00000679858
ENSG00000117054|ENST00000680517
ENSG00000111331|ENST00000681572
ENSG00000135317|ENST00000683196
ENSG00000182923|ENST00000682689
ENSG00000100139|ENST00000680501
ENSG00000103546|ENST00000682050
ENSG00000135297|ENST00000679591
ENSG00000168214|ENST00000681506
ENSG00000110080|ENST00000676867
ENSG00000033011|ENST00000684008
ENSG00000111331|ENST00000679562
ENSG00000146872|ENST00000682274
ENSG00000106462|ENST00000682317
ENSG00000116337|ENST00000680832
ENSG00000125124|ENST00000684246
ENSG00000163703|ENST00000683970
ENSG00000213614|ENST00000682461
ENSG00000135297|ENST00000680758
ENSG00000197386|ENST00000680360
ENSG00000135317|ENST00000684239
ENSG00000135541|ENST00000679668
ENSG00000163703|ENST00000682318
ENSG00000135297|ENST00000679627
ENSG00000099246|ENST00000682082
ENSG00000135541|ENST00000681860
ENSG00000135297|ENST00000680034
ENSG00000003393|ENST00000680508
ENSG00000124523|ENST00000680754
ENSG00000172269|ENST00000684345
ENSG00000103494|ENST00000680193
ENSG00000104884|ENST00000684218
ENSG00000105875|ENST00000682250
ENSG00000132932|ENST00000684283
ENSG00000125124|ENST00000682875
ENSG00000160145|ENST00000682277
ENSG00000125089|ENST00000684537
ENSG00000135297|ENST00000679870
ENSG00000168003|ENST00000681107
ENSG00000135931|ENST00000683040
ENSG00000137073|ENST00000683659
ENSG00000154743|ENST00000680449
ENSG00000127022|ENST00000681431
ENSG00000184752|ENST00000682903
ENSG00000183230|ENST00000683624
ENSG00000116337|ENST00000680148
ENSG00000100139|ENST00000681920
ENSG00000135317|ENST00000682023
ENSG00000037749|ENST00000679729
ENSG00000117054|ENST00000681720
ENSG00000182150|ENST00000682748
ENSG00000185624|ENST00000680732
ENSG00000008311|ENST00000681626
ENSG00000073060|ENST00000681117
ENSG00000006071|ENST00000684555
ENSG00000154743|ENST00000679835
ENSG00000113971|ENST00000684294
ENSG00000130640|ENST00000683829
ENSG00000124356|ENST00000682784
ENSG00000089127|ENST00000680522
ENSG00000163703|ENST00000682906
ENSG00000144591|ENST00000683591
ENSG00000177239|ENST00000684366
ENSG00000135317|ENST00000682412
ENSG00000073060|ENST00000679605
ENSG00000159063|ENST00000681351
ENSG00000006071|ENST00000683562
ENSG00000213614|ENST00000683735
ENSG00000130640|ENST00000684487
ENSG00000204852|ENST00000681437
ENSG00000164953|ENST00000684540
ENSG00000128298|ENST00000681104
ENSG00000132170|ENST00000684065
ENSG00000100139|ENST00000679832
ENSG00000171503|ENST00000684552
ENSG00000160145|ENST00000683356
ENSG00000164953|ENST00000684149
ENSG00000163703|ENST00000684291
ENSG00000163703|ENST00000682397
ENSG00000124356|ENST00000683594
ENSG00000141556|ENST00000683184
ENSG00000078124|ENST00000681354
ENSG00000077232|ENST00000681139
ENSG00000166483|ENST00000680141
ENSG00000077232|ENST00000681146
ENSG00000135297|ENST00000681438
ENSG00000184014|ENST00000680252
ENSG00000177239|ENST00000684297
ENSG00000151348|ENST00000683870
ENSG00000135317|ENST00000683857
ENSG00000111331|ENST00000679517
ENSG00000089472|ENST00000682362
ENSG00000144591|ENST00000683598
ENSG00000009830|ENST00000683188
ENSG00000123983|ENST00000680525
ENSG00000072041|ENST00000680187
ENSG00000008311|ENST00000681434
ENSG00000185624|ENST00000681760
ENSG00000008311|ENST00000680080
ENSG00000101347|ENST00000683720
ENSG00000141252|ENST00000681661
ENSG00000147050|ENST00000682908
ENSG00000116127|ENST00000684656
ENSG00000213614|ENST00000683853
ENSG00000118473|ENST00000684750
ENSG00000135931|ENST00000684368
ENSG00000086189|ENST00000680960
ENSG00000144591|ENST00000683626
ENSG00000100749|ENST00000679650
ENSG00000138796|ENST00000682067
ENSG00000135297|ENST00000681624
ENSG00000171503|ENST00000684296
ENSG00000213614|ENST00000682061
ENSG00000159063|ENST00000679685
ENSG00000166598|ENST00000680663
ENSG00000135297|ENST00000681141
ENSG00000265590|ENST00000673879
ENSG00000116337|ENST00000681181
ENSG00000197102|ENST00000680200
ENSG00000147955|ENST00000680104
ENSG00000140650|ENST00000682393
ENSG00000077522|ENST00000683111
ENSG00000137073|ENST00000682914
ENSG00000172269|ENST00000682946
ENSG00000124356|ENST00000683530
ENSG00000111331|ENST00000681594
ENSG00000177239|ENST00000683979
ENSG00000124356|ENST00000684774
ENSG00000204852|ENST00000681851
ENSG00000104133|ENST00000683186
ENSG00000118473|ENST00000682901
ENSG00000185624|ENST00000679455
ENSG00000141556|ENST00000684361
ENSG00000100749|ENST00000681695
ENSG00000091483|ENST00000684483
ENSG00000136492|ENST00000682477
ENSG00000003393|ENST00000681144
ENSG00000163703|ENST00000673677
ENSG00000150768|ENST00000680010
ENSG00000167986|ENST00000681188
ENSG00000172269|ENST00000683143
ENSG00000100749|ENST00000681598
ENSG00000163703|ENST00000682907
ENSG00000166598|ENST00000681172
ENSG00000111331|ENST00000679547
ENSG00000117054|ENST00000681621
ENSG00000147133|ENST00000683358
ENSG00000135297|ENST00000681932
ENSG00000167986|ENST00000680357
ENSG00000078124|ENST00000681732
ENSG00000177239|ENST00000684138
ENSG00000166598|ENST00000680370
ENSG00000018510|ENST00000681565
ENSG00000132932|ENST00000683960
ENSG00000101160|ENST00000681664
ENSG00000205085|ENST00000684742
ENSG00000089472|ENST00000683049
ENSG00000111331|ENST00000680090
ENSG00000196233|ENST00000675151
ENSG00000177646|ENST00000679431
ENSG00000077232|ENST00000680480
ENSG00000135317|ENST00000684422
ENSG00000011243|ENST00000680642
ENSG00000033011|ENST00000682797
ENSG00000075702|ENST00000679357
ENSG00000256043|ENST00000681379
ENSG00000049167|ENST00000682375
ENSG00000122591|ENST00000681237
ENSG00000124356|ENST00000682387
ENSG00000070808|ENST00000683506
ENSG00000164953|ENST00000683953
ENSG00000003393|ENST00000680236
ENSG00000117054|ENST00000679530
ENSG00000073756|ENST00000681605
ENSG00000109618|ENST00000680581
ENSG00000135297|ENST00000680289
ENSG00000127022|ENST00000681504
ENSG00000213614|ENST00000682843
ENSG00000225830|ENST00000679596
ENSG00000130640|ENST00000682631
ENSG00000117054|ENST00000681209
ENSG00000116337|ENST00000680820
ENSG00000171798|ENST00000684244
ENSG00000138095|ENST00000682303
ENSG00000117054|ENST00000681037
ENSG00000132549|ENST00000682153
ENSG00000008311|ENST00000681511
ENSG00000125124|ENST00000682348
ENSG00000135297|ENST00000680544
ENSG00000159063|ENST00000681957
ENSG00000124523|ENST00000679663
ENSG00000135333|ENST00000681130
ENSG00000003393|ENST00000679409
ENSG00000109906|ENST00000683233
ENSG00000185624|ENST00000681031
ENSG00000172269|ENST00000682811
ENSG00000116337|ENST00000679593
ENSG00000006071|ENST00000684288
ENSG00000172469|ENST00000682076
ENSG00000213614|ENST00000684305
ENSG00000204852|ENST00000680548
ENSG00000135541|ENST00000679434
ENSG00000177239|ENST00000684272
ENSG00000138138|ENST00000681602
ENSG00000182923|ENST00000682316
ENSG00000163703|ENST00000683547
ENSG00000006071|ENST00000682965
ENSG00000164418|ENST00000683208
ENSG00000144554|ENST00000682647
ENSG00000163703|ENST00000683921
ENSG00000147133|ENST00000682124
ENSG00000072041|ENST00000680207
ENSG00000132170|ENST00000681966
ENSG00000198947|ENST00000680961
ENSG00000196305|ENST00000683537
ENSG00000133835|ENST00000683371
ENSG00000136068|ENST00000684517
ENSG00000055609|ENST00000680039
ENSG00000148400|ENST00000680924
ENSG00000213614|ENST00000683243
ENSG00000111331|ENST00000679912
ENSG00000213614|ENST00000684602
ENSG00000144426|ENST00000683001
ENSG00000131844|ENST00000682687
ENSG00000125124|ENST00000684673
ENSG00000168214|ENST00000681679
ENSG00000185624|ENST00000680083
ENSG00000125124|ENST00000682429
ENSG00000253710|ENST00000681047
ENSG00000167460|ENST00000659595
ENSG00000135317|ENST00000682454
ENSG00000127914|ENST00000681216
ENSG00000117054|ENST00000679976
ENSG00000127914|ENST00000679448
ENSG00000135114|ENST00000681590
ENSG00000104133|ENST00000684676
ENSG00000149311|ENST00000684037
ENSG00000188906|ENST00000680018
ENSG00000196305|ENST00000684757
ENSG00000023041|ENST00000682616
ENSG00000177646|ENST00000679824
ENSG00000138095|ENST00000682585
ENSG00000100023|ENST00000679580
ENSG00000148672|ENST00000682833
ENSG00000159063|ENST00000681723
ENSG00000169379|ENST00000681013
ENSG00000213614|ENST00000684231
ENSG00000185624|ENST00000679366
ENSG00000008277|ENST00000682337
ENSG00000011243|ENST00000680017
ENSG00000170185|ENST00000684586
ENSG00000164953|ENST00000682700
ENSG00000116337|ENST00000679892
ENSG00000135297|ENST00000679905
ENSG00000124356|ENST00000683928
ENSG00000124356|ENST00000683728
ENSG00000120697|ENST00000680795
ENSG00000003393|ENST00000680927
ENSG00000104133|ENST00000684038
ENSG00000124356|ENST00000684758
ENSG00000197102|ENST00000681536
ENSG00000197386|ENST00000680239
ENSG00000116337|ENST00000680531
ENSG00000105835|ENST00000681494
ENSG00000136943|ENST00000680385
ENSG00000169379|ENST00000679654
ENSG00000186111|ENST00000679828
ENSG00000006062|ENST00000680632
ENSG00000125124|ENST00000683992
ENSG00000101160|ENST00000680283
ENSG00000164418|ENST00000684518
ENSG00000135297|ENST00000681620
ENSG00000171503|ENST00000683004
ENSG00000177119|ENST00000680371
